epoch,reward,mean_vloss
0,-593.25,4.2837443351745605
1,-612.5,4.206615447998047
2,-712.75,4.164060115814209
3,-607.5,4.243947982788086
4,-678.25,4.166536331176758
5,-589.75,4.198977947235107
6,-685.25,4.196202278137207
7,-664.5,4.131232738494873
8,-565.5,4.030367374420166
9,-632.25,4.080417633056641
10,-601.75,3.886559009552002
11,-564.75,4.037756443023682
12,-635.5,3.9306106567382812
13,-646.5,3.837566375732422
14,-612.0,3.8123414516448975
15,-630.25,3.8724093437194824
16,-627.5,3.798870801925659
17,-627.5,3.8890295028686523
18,-668.5,3.905341863632202
19,-639.0,3.8666656017303467
20,-692.75,3.6771509647369385
21,-595.75,3.6647660732269287
22,-646.25,3.7399444580078125
23,-680.0,3.690985918045044
24,-551.5,3.560276746749878
25,-599.25,3.6131486892700195
26,-627.75,3.6258962154388428
27,-553.25,3.5901737213134766
28,-654.75,3.552370548248291
29,-711.0,3.6442902088165283
30,-649.0,3.7156248092651367
31,-672.5,3.575263500213623
32,-596.75,3.5066308975219727
33,-653.75,3.3991103172302246
34,-664.0,3.454796075820923
35,-643.25,3.4868741035461426
36,-624.5,3.5065484046936035
37,-717.25,3.6363065242767334
38,-597.75,3.393922805786133
39,-623.5,3.3658607006073
40,-581.25,3.2725765705108643
41,-630.5,3.451253890991211
42,-689.75,3.378314256668091
43,-660.75,3.3002123832702637
44,-650.75,3.389803171157837
45,-659.75,3.4402034282684326
46,-706.25,3.3155174255371094
47,-610.0,3.1692392826080322
48,-640.25,3.1336004734039307
49,-587.75,3.279435873031616
50,-709.75,3.2520198822021484
51,-624.25,3.2966485023498535
52,-640.5,3.2388243675231934
53,-568.75,3.1772680282592773
54,-617.25,3.120964288711548
55,-697.0,3.2215511798858643
56,-622.25,3.0690319538116455
57,-695.0,3.168006181716919
58,-589.5,3.082793712615967
59,-719.25,3.106321334838867
60,-642.0,3.1729063987731934
61,-745.75,3.0591912269592285
62,-628.75,3.0350136756896973
63,-637.0,2.974369525909424
64,-594.0,2.982816457748413
65,-580.0,2.995217800140381
66,-635.75,2.984894037246704
67,-628.0,2.906273603439331
68,-651.0,3.1320457458496094
69,-567.0,2.9660356044769287
70,-607.5,2.958436965942383
71,-580.25,2.9781665802001953
72,-639.5,2.8979315757751465
73,-610.75,2.9090776443481445
74,-568.0,2.919795036315918
75,-640.0,2.910914659500122
76,-618.0,2.8961198329925537
77,-614.5,2.917253255844116
78,-593.0,2.8371946811676025
79,-601.0,2.8309402465820312
80,-607.5,2.796375274658203
81,-745.25,2.8988356590270996
82,-642.0,2.831618547439575
83,-630.75,2.776360511779785
84,-640.5,2.8817896842956543
85,-610.25,2.836077928543091
86,-648.5,2.7334492206573486
87,-597.25,2.767970085144043
88,-677.0,2.7603397369384766
89,-645.5,2.788764476776123
90,-585.5,2.8171961307525635
91,-634.5,2.678307294845581
92,-647.5,2.8037312030792236
93,-677.25,2.8471429347991943
94,-642.25,2.60919189453125
95,-622.25,2.6614480018615723
96,-598.25,2.56282377243042
97,-599.0,2.574044704437256
98,-672.0,2.5850374698638916
99,-668.75,2.6313796043395996
100,-609.75,2.613114595413208
101,-564.25,2.7067041397094727
102,-634.5,2.6315572261810303
103,-617.0,2.4625563621520996
104,-602.0,2.6380057334899902
105,-659.25,2.535165309906006
106,-610.75,2.5042481422424316
107,-616.5,2.6017372608184814
108,-672.0,2.5959529876708984
109,-641.0,2.5186543464660645
110,-642.25,2.488736152648926
111,-607.5,2.4976813793182373
112,-620.25,2.4055252075195312
113,-611.5,2.4282126426696777
114,-589.0,2.3357369899749756
115,-591.75,2.382157325744629
116,-644.75,2.381122589111328
117,-668.75,2.5160603523254395
118,-581.25,2.552964210510254
119,-685.0,2.615719795227051
120,-607.25,2.384220600128174
121,-598.5,2.411280393600464
122,-639.25,2.414100170135498
123,-629.0,2.44781494140625
124,-622.0,2.333867073059082
125,-688.5,2.403179168701172
126,-665.5,2.498408555984497
127,-683.5,2.365067481994629
128,-647.25,2.4331417083740234
129,-621.75,2.3845326900482178
130,-624.25,2.330820083618164
131,-637.0,2.2591938972473145
132,-553.75,2.3473525047302246
133,-718.0,2.390437602996826
134,-638.0,2.295532703399658
135,-643.75,2.3080716133117676
136,-592.0,2.2748281955718994
137,-647.25,2.289193630218506
138,-561.25,2.402130365371704
139,-673.25,2.481293201446533
140,-612.25,2.29915189743042
141,-557.25,2.070838689804077
142,-564.25,2.1988635063171387
143,-644.75,2.0758259296417236
144,-593.0,2.2299094200134277
145,-609.0,2.2529752254486084
146,-544.25,2.254128932952881
147,-647.75,2.1843132972717285
148,-644.5,2.3388633728027344
149,-593.75,2.1447830200195312
150,-622.0,2.2905728816986084
151,-677.0,2.1785197257995605
152,-754.5,2.2888970375061035
153,-669.0,2.102412462234497
154,-580.75,2.2817583084106445
155,-688.25,2.1401772499084473
156,-661.0,2.2717435359954834
157,-644.5,2.1287903785705566
158,-618.25,2.156856060028076
159,-638.5,2.076547861099243
160,-704.75,2.2274041175842285
